X,Y,OBJECTID,created_date,created_user,src_geo,clc_quartier,clc_secteur,id_arbre,haut_tot,haut_tronc,tronc_diam,fk_arb_etat,fk_stadedev,fk_port,fk_pied,fk_situation,fk_revetement,commentaire_environnement,dte_plantation,age_estim,fk_prec_estim,clc_nbr_diag,dte_abattage,fk_nomtech,last_edited_user,last_edited_date,villeca,nomfrancais,nomlatin,GlobalID,CreationDate,Creator,EditDate,Editor,feuillage,remarquable
1721069.7037,8295599.5519,4786,2017/02/02 15:28:05+00,mickael.delaere,Orthophoto,Quartier de l'Europe,Avenue Robert Schuman,52,15.0,2.0,120.0,EN PLACE,adulte,semi libre,gazon,Alignement,Oui,RAS,,38.0,10.0,0.0,,ACEPSE,mickael.delaere,2017/05/12 09:34:07+00,VILLE,ACEPSE,ACEPSE,{E85A88E7-960E-4B17-A148-127E82BBBB98},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1720824.5439,8294895.369,1989,2017/02/02 15:27:53+00,mickael.delaere,Orthophoto,Quartier Remicourt,Boulevard Roosevelt,79,0.0,0.0,0.0,ABATTU,,,,Alignement,,RAS,,0.0,,0.0,,RAS,mickael.delaere,2017/02/02 15:27:53+00,VILLE,RAS,RAS,{FF231080-F44E-40DF-8205-241841C10D7E},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,,Non
1721067.4543,8294443.188,1711,2017/02/02 15:27:53+00,mickael.delaere,Orthophoto,Quartier Remicourt,Rue de Baudreuil,69,7.0,2.0,66.0,EN PLACE,jeune,semi libre,Bande de terre,Alignement,Non,RAS,,20.0,5.0,0.0,,LIRTUL,mickael.delaere,2017/02/02 15:27:53+00,VILLE,LIRTUL,LIRTUL,{9B5249E0-07AE-4023-8EE3-9176B978E9D4},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721386.3414,8293656.1116,10421,2018/01/10 14:06:10+00,mickael.delaere,Orthophoto,Quartier du faubourg d'Isle,Parvis Gare,164,5.0,2.0,32.0,EN PLACE,Jeune,Libre,Terre,Groupe,Non,RAS,2016/01/01 00:00:00+00,5.0,2.0,0.0,,QUECER,mickael.delaere,2018/01/10 14:06:10+00,VILLE,QUECER,QUECER,{C67A1416-81C0-40DB-AA3B-04DFB64A01D7},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1720912.5774,8295713.6549,5196,2017/02/02 15:28:09+00,mickael.delaere,Orthophoto,Quartier de l'Europe,Rue Hertz,39,7.0,3.0,105.0,EN PLACE,adulte,réduit,gazon,Alignement,Non,RAS,,40.0,2.0,0.0,,ACEPLA,mickael.delaere,2017/02/02 15:28:09+00,VILLE,ACEPLA,ACEPLA,{9AB07261-EDFF-4953-9371-D9EF3A7D0146},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1718009.1876,8293987.9467,7816,2017/02/02 15:28:16+00,mickael.delaere,Orthophoto,Quartier Saint-Martin - Oëstres,Rue Georges Charpak,62,6.0,3.0,33.0,EN PLACE,jeune,semi libre,gazon,Alignement,Non,RAS,2010/01/01 00:00:00+00,,,,,PLAACE,mickael.delaere,2017/02/02 15:28:16+00,CASQ,PLAACE,PLAACE,{ABA02C59-D149-4E7A-9969-9E6CA941A83D},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1717897.4334,8294985.2922,9367,2017/09/25 12:12:39+00,mickael.delaere,,Quartier Saint-Martin - Oëstres,Rue André Missenard,35,6.0,2.0,37.0,EN PLACE,jeune,libre,terre,Alignement,Non, ,,10.0,5.0,,,FRAEXC,mickael.delaere,2017/09/25 13:59:25+00,CASQ,FRAEXC,FRAEXC,{41A738D8-4C65-4E03-BED4-797D8DA66A07},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721270.8196,8292654.4327,9675,2017/09/25 12:16:35+00,mickael.delaere,,,Zone industrielle St-Lazare,42,9.0,2.0,67.0,EN PLACE,jeune,libre,terre,Alignement,Non, ,,20.0,5.0,,,TILCOR,mickael.delaere,2017/09/25 14:01:34+00,CASQ,TILCOR,TILCOR,{45841F2F-600B-428D-940B-919FE7951911},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721185.1428,8295706.881,5217,2017/02/02 15:28:09+00,mickael.delaere,Orthophoto,Quartier de l'Europe,Rue Hertz,61,21.0,4.0,180.0,EN PLACE,adulte,semi libre,gazon,Groupe,Non,RAS,,40.0,2.0,0.0,,ACEPLA,mickael.delaere,2017/02/02 15:28:09+00,VILLE,ACEPLA,ACEPLA,{8A66B6CB-2219-4279-8CAF-05BC5042B0E3},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1720723.4015,8294887.8503,1954,2017/02/02 15:27:53+00,mickael.delaere,Orthophoto,Quartier du Centre-Ville,Boulevard Roosevelt,44,4.0,2.0,34.0,Non essouché,adulte,semi libre,fosse arbre,Alignement,,RAS,,50.0,10.0,0.0,2014/12/01 00:00:00+00,MAL,mickael.delaere,2017/05/11 07:35:57+00,VILLE,MAL,MAL,{D6424735-E869-4A46-A388-FC4AF92BCC29},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721732.5462,8296071.7239,4698,2017/02/02 15:28:05+00,mickael.delaere,Orthophoto,Quartier de l'Europe,Rue Boileau,40,26.0,3.0,205.0,EN PLACE,adulte,semi libre,gazon,Alignement,Non,RAS,,45.0,10.0,0.0,,PLAACE,mickael.delaere,2017/02/02 15:28:05+00,VILLE,PLAACE,PLAACE,{2DB9A8CE-E516-4626-BADA-E03D9AB1BD28},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1718449.5014,8292435.49,6798,2017/02/02 15:28:13+00,mickael.delaere,Orthophoto,Quartier Saint-Martin - Oëstres,Résidence Charleroi,15,9.0,0.0,40.0,EN PLACE,jeune,libre,gazon,Alignement,Non,RAS,,10.0,5.0,0.0,,QUEROB,mickael.delaere,2017/02/02 15:28:13+00,VILLE,QUEROB,QUEROB,{76BC8FF4-479E-4042-9E93-FB9BDE75ED6F},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1719857.3086,8295348.4201,2750,2017/02/02 15:27:57+00,mickael.delaere,Orthophoto,Quartier Saint-Jean,Rue Emilie et Raymond Pierret,58,7.0,3.0,40.0,EN PLACE,jeune,semi libre,Bande de terre,Alignement,Non,RAS,,15.0,5.0,0.0,,PYRCALcha,mickael.delaere,2017/02/02 15:27:57+00,VILLE,PYRCALcha,PYRCALcha,{7DCCCCDE-792A-466C-BD43-E702357A35D0},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1722301.7709,8295084.7963,3299,2017/02/02 15:28:02+00,mickael.delaere,Orthophoto,Quartier Remicourt,Auberge de jeunesse,10,12.0,4.0,170.0,EN PLACE,adulte,semi libre,gazon,Alignement,Non,RAS,,40.0,10.0,0.0,,PINNIGnig,mickael.delaere,2017/02/02 15:28:02+00,VILLE,PINNIGnig,PINNIGnig,{8D6B39C6-11AE-4108-B8EE-483428B76C98},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Conifère,Non
