X,Y,OBJECTID,created_date,created_user,src_geo,clc_quartier,clc_secteur,id_arbre,haut_tot,haut_tronc,tronc_diam,fk_arb_etat,fk_stadedev,fk_port,fk_pied,fk_situation,fk_revetement,commentaire_environnement,dte_plantation,age_estim,fk_prec_estim,clc_nbr_diag,dte_abattage,fk_nomtech,last_edited_user,last_edited_date,villeca,nomfrancais,nomlatin,GlobalID,CreationDate,Creator,EditDate,Editor,feuillage,remarquable
1720930.7613,8294782.265,406,2017/02/02 15:27:50+00,mickael.delaere,Orthophoto,Quartier Remicourt,Parc des Champs-Elysées,206,15.0,5.0,147.0,EN PLACE,adulte,tête de chat relaché,Revetement non permeable,Alignement,,RAS,,80.0,20.0,0.0,,TILCOR,mickael.delaere,2017/05/12 09:26:22+00,VILLE,TILCOR,TILCOR,{FD5E6F6F-C410-49E3-8C41-2B5AF25D370A},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721818.3117,8295903.4388,5328,2017/02/02 15:28:09+00,mickael.delaere,Orthophoto,Quartier de l'Europe,Square des Marronniers,75,16.0,3.0,170.0,EN PLACE,adulte,semi libre,gazon,Groupe,Non,RAS,,40.0,2.0,0.0,,ACEPSE,mickael.delaere,2017/02/02 15:28:09+00,VILLE,ACEPSE,ACEPSE,{DE49CA61-E4EB-4D3F-A068-A677655D6F53},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721537.0118,8296299.2747,6155,2017/02/02 15:28:13+00,mickael.delaere,Orthophoto,Quartier de l'Europe,Espace de glisse,42,23.0,2.0,155.0,EN PLACE,adulte,semi libre,gazon,Groupe,Non,RAS,,40.0,10.0,0.0,,ACEPSE,mickael.delaere,2017/02/02 15:28:13+00,VILLE,ACEPSE,ACEPSE,{25D7632E-B9DB-499B-83A4-52B3F8438ECB},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721685.171,8293673.244,5501,2017/02/02 15:28:08+00,mickael.delaere,Orthophoto,Quartier du faubourg d'Isle,Avenue Léo Lagrange,24,6.0,2.0,20.0,REMPLACÉ,jeune,semi libre,fosse arbre,Alignement,Non,RAS,,5.0,2.0,0.0,2012/11/01 00:00:00+00,QUEPAL,mickael.delaere,2018/01/03 09:34:34+00,VILLE,QUEPAL,QUEPAL,{E425CAE7-4D7E-4025-A642-BD47D8737491},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1719044.2829,8295073.2306,9268,2017/02/02 15:28:21+00,mickael.delaere,Orthophoto,Quartier du Vermandois,Serpentine Sud,200,11.0,0.0,100.0,EN PLACE,jeune,semi libre,gazon,Groupe,Non,RAS,,15.0,2.0,,,CEDATL,mickael.delaere,2017/02/02 15:28:21+00,CASQ,CEDATL,CEDATL,{BE090B4B-B0D1-4593-AC31-F6F51E8F9535},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Conifère,Non
1721703.2301,8295576.699,11856,,,,Quartier de l'Europe,Rue des Frères Lumière,18,3.5,2.2,25.0,EN PLACE,jeune,libre,gazon,Isolé,Non,Aucun,2018/10/31 23:00:00+00,1.0,0.0,,,GLETRIsun,,,VILLE,GLETRIsun,GLETRIsun,{BF35BDCD-06C7-4D9E-BBC4-A7A89267D85B},,,,,Feuillu,Non
1719804.6975,8294121.2047,2401,2017/02/02 15:27:58+00,mickael.delaere,Orthophoto,Quartier Saint-Martin - Oëstres,Boulevard de Verdun,15,9.0,3.0,80.0,SUPPRIMÉ,adulte,semi libre,gazon,Alignement,Non,RAS,,50.0,10.0,0.0,2013/07/01 00:00:00+00,ACEPSE,mickael.delaere,2017/05/10 14:38:25+00,VILLE,ACEPSE,ACEPSE,{279D378F-B7BC-463A-B513-EC78C0F8B9B0},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721786.805,8295374.6085,3933,2017/02/02 15:28:02+00,mickael.delaere,Orthophoto,Quartier Remicourt,Avenue de la République,57,3.0,2.0,25.0,EN PLACE,jeune,libre,fosse arbre,Alignement,Non,RAS,2012/11/01 00:00:00+00,8.0,5.0,0.0,,ACECAMros,mickael.delaere,2017/02/02 15:28:02+00,VILLE,ACECAMros,ACECAMros,{864E4C2A-4ABD-4BEA-8ED6-FEDA0F2EB042},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721261.3734,8295590.7833,4867,2017/02/02 15:28:05+00,mickael.delaere,Orthophoto,Quartier de l'Europe,Avenue Robert Schuman,134,10.0,2.0,63.0,EN PLACE,adulte,tête de chat relaché,gazon,Alignement,Non,RAS,,35.0,10.0,0.0,,TILCOR,mickael.delaere,2017/05/12 09:34:45+00,VILLE,TILCOR,TILCOR,{CC8A5C29-AF9D-483C-BFE8-FD62793A8484},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1717638.2642,8293882.2928,8049,2017/02/02 15:28:18+00,mickael.delaere,Orthophoto,Quartier Saint-Martin - Oëstres,Rue Georges Charpak,269,7.0,3.0,49.0,EN PLACE,jeune,semi libre,gazon,Alignement,Non,RAS,2009/01/01 00:00:00+00,,,,,PLAACE,mickael.delaere,2017/02/02 15:28:18+00,CASQ,PLAACE,PLAACE,{7BACA8DB-81CE-44EC-8441-8D8B85DE768D},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721948.8783,8295198.3934,5778,2017/02/02 15:28:09+00,mickael.delaere,Orthophoto,Quartier Remicourt,Rue Jacky Tabar,34,5.0,2.0,22.0,EN PLACE,jeune,semi libre,gazon,Isolé,Non,RAS,,5.0,3.0,0.0,,MALPEReve,mickael.delaere,2017/02/02 15:28:09+00,VILLE,MALPEReve,MALPEReve,{649F305D-9929-46B1-A1D9-00B906EE801E},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721357.8833,8290475.1134,11295,,,,,Zone industrielle le Royeux (basssin),32,6.0,1.5,52.0,EN PLACE,jeune,libre,terre,Alignement,Non, ,,10.0,5.0,,,LIQSTY,,,CASQ,LIQSTY,LIQSTY,{894F4F71-E3F0-4926-8C64-C834A89D54F6},,,,,Feuillu,Non
1718749.8188,8295246.7428,8947,2017/02/02 15:28:18+00,mickael.delaere,Orthophoto,Quartier du Vermandois,Serpentine Nord,75,7.0,2.0,88.0,EN PLACE,jeune,tête de chat,gazon,Groupe,Non,RAS,,15.0,2.0,,,SALALB,mickael.delaere,2017/02/02 15:28:18+00,CASQ,SALALB,SALALB,{EBFB410D-5A5C-4D64-9E1D-F759357F3573},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721730.3801,8295887.8266,5292,2017/02/02 15:28:09+00,mickael.delaere,Orthophoto,Quartier de l'Europe,Square des Marronniers,38,16.0,3.0,145.0,Essouché,adulte,semi libre,gazon,Groupe,Non,RAS,,60.0,2.0,0.0,2018/09/30 22:00:00+00,ACEPLA,mickael.delaere,2017/02/02 15:28:09+00,VILLE,ACEPLA,ACEPLA,{29338DEA-822E-427F-9652-8C0068570F11},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1722288.3369,8292706.5802,4081,2017/02/02 15:28:05+00,mickael.delaere,Orthophoto,Quartier de Neuville,Gymnase Eugène Corette,11,5.0,3.0,25.0,SUPPRIMÉ,jeune,semi libre,fosse arbre,Groupe,Non,RAS,,10.0,3.0,0.0,2015/07/01 00:00:00+00,CERSIL,mickael.delaere,2017/05/11 09:21:18+00,VILLE,CERSIL,CERSIL,{72FCEE42-80B6-4385-A3B3-A4FBB0E2824A},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721645.4479,8296262.5584,11917,2018/03/28 22:00:00+00,,Orthophoto,OMISSY,Terrain aventure Neuville,441,14.0,3.0,63.0,EN PLACE,jeune,libre,gazon,Groupe,Non,Aucun,,20.0,3.0,,,,,,,FRAEXC,FRAEXC,{66655B8A-CA43-4871-815E-D3403356C1FA},,,,,Feuillu,Non
1718967.1831,8295622.4377,2286,2017/02/02 15:27:57+00,mickael.delaere,Orthophoto,Quartier du Vermandois,Rue Salvador Allende,5,12.0,3.0,59.0,EN PLACE,adulte,semi libre,gazon,Groupe,Non,RAS,,50.0,10.0,0.0,,BETPEN,mickael.delaere,2017/02/02 15:27:57+00,VILLE,BETPEN,BETPEN,{28609D0F-ED72-4F5B-A1DA-37C2ADC9FFB7},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1717626.1167,8293872.5551,8124,2017/02/02 15:28:18+00,mickael.delaere,Orthophoto,Quartier Saint-Martin - Oëstres,Rue Georges Charpak,344,7.0,3.0,51.0,EN PLACE,jeune,semi libre,gazon,Alignement,Non,RAS,2009/01/01 00:00:00+00,,,,,PLAACE,mickael.delaere,2017/02/02 15:28:18+00,CASQ,PLAACE,PLAACE,{5635D8FD-C5DD-4CF6-8D7A-C80A36AEAAEC},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721662.3844,8295612.8068,4568,2017/02/02 15:28:05+00,mickael.delaere,Orthophoto,Quartier de l'Europe,Rue Gay Lussac,31,18.0,2.0,185.0,EN PLACE,adulte,semi libre,gazon,Groupe,Non,RAS,,40.0,10.0,0.0,,ACEPLA,mickael.delaere,2017/02/02 15:28:05+00,VILLE,ACEPLA,ACEPLA,{B63D1857-F2B6-42E6-9F5D-7383207F4C07},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1722462.3882,8294200.0091,6994,2017/02/02 15:28:16+00,mickael.delaere,Orthophoto,Quartier du faubourg d'Isle,Parc d'Isle Jacques Braconnier,342,23.0,3.0,110.0,SUPPRIMÉ,adulte,semi libre,gazon,Groupe,Non,RAS,,30.0,15.0,0.0,2018/10/31 23:00:00+00,GLETRIine,thibaut.delaire,2017/02/21 10:21:35+00,CASQ,GLETRIine,GLETRIine,{59381E69-F79F-4E3E-B6FB-17603260AD7D},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721354.1065,8296158.1785,6887,2017/02/02 15:28:13+00,mickael.delaere,Orthophoto,Quartier de l'Europe,Rue d'Alembert,16,19.0,2.0,160.0,REMPLACÉ,adulte,semi libre,gazon,Groupe,Non,RAS,,50.0,10.0,0.0,2015/08/01 00:00:00+00,PICABI,mickael.delaere,2017/05/11 13:04:11+00,VILLE,PICABI,PICABI,{EB33B7A4-2FBF-4A28-9DB1-6F4E5E02B1AD},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Conifère,Non
1721452.6348,8290453.1106,11330,,,,,Zone industrielle le Royeux (basssin),67,5.0,0.0,33.0,EN PLACE,jeune,cépée,terre,Groupe,Non, ,,10.0,5.0,,,PRUSER,,,CASQ,PRUSER,PRUSER,{9E89694A-CF8C-408D-ACAF-C473F6118801},,,,,Feuillu,Non
1721420.3185,8296135.2749,7214,2017/02/02 15:28:16+00,mickael.delaere,Orthophoto,Quartier de l'Europe,Rue d'Alembert,42,14.0,0.0,138.0,Essouché,adulte,semi libre,gazon,Groupe,Non,RAS,,30.0,10.0,0.0,2018/09/30 22:00:00+00,ACECAM,mickael.delaere,2017/02/02 15:28:16+00,VILLE,ACECAM,ACECAM,{1AB5CC55-F1F7-47BC-835D-60B97A2BAAD8},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1719349.1737,8295158.6699,8782,2017/02/02 15:28:18+00,mickael.delaere,Orthophoto,Quartier du Vermandois,Rue du Commandant Jacques-Yves Cousteau,20,7.0,2.0,94.0,EN PLACE,adulte,étêté,gazon,Alignement,Non,Gazon et/ou arbustes,,15.0,2.0,,,PINNIGnig,mickael.delaere,2017/02/02 15:28:18+00,CASQ,PINNIGnig,PINNIGnig,{80B81006-E0DC-48C8-97DD-DAE6DF10DEA9},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Conifère,Non
1721611.6582,8295860.4516,5330,2017/02/02 15:28:09+00,mickael.delaere,Orthophoto,Quartier de l'Europe,Rue du Capitaine Dumont,1,20.0,3.0,190.0,EN PLACE,adulte,semi libre,gazon,Isolé,Oui,RAS,,80.0,15.0,0.0,,LIQSTY,mickael.delaere,2017/02/02 15:28:09+00,VILLE,LIQSTY,LIQSTY,{02CC436D-926B-47A8-A3BD-0DDA38DE6758},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721155.5595,8294341.2743,1132,2017/02/02 15:27:53+00,mickael.delaere,Orthophoto,Quartier Remicourt,Parc des Champs-Elysées,453,8.0,0.0,47.0,EN PLACE,jeune,semi libre,gazon,Isolé,Non,RAS,,15.0,5.0,0.0,,QUEROBfas,mickael.delaere,2017/05/12 09:28:13+00,VILLE,QUEROBfas,QUEROBfas,{D7154FA3-44A6-4859-A8E1-1DD7EA6E96D7},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1719840.1257,8294296.6359,3086,2017/02/02 15:28:02+00,mickael.delaere,Orthophoto,Quartier Saint-Jean,Rue Demoustier,2,4.0,2.0,55.0,EN PLACE,adulte,semi libre,gazon,Alignement,Non,RAS,,15.0,10.0,0.0,,PRUSER,mickael.delaere,2017/02/02 15:28:02+00,VILLE,PRUSER,PRUSER,{988938E9-A4C9-4872-A98A-2875C19E23F3},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1719370.3075,8295086.5577,8837,2017/02/02 15:28:18+00,mickael.delaere,Orthophoto,Quartier du Vermandois,Rue Paul Codos,15,8.0,2.0,102.0,EN PLACE,adulte,semi libre,gazon,Groupe,Non,RAS,,15.0,2.0,,,PINNIGnig,mickael.delaere,2017/02/02 15:28:18+00,CASQ,PINNIGnig,PINNIGnig,{0291F963-54B6-4FCA-B377-2D6EEAE39DAB},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Conifère,Non
1721640.1548,8296255.8339,11914,2018/03/28 22:00:00+00,,Orthophoto,OMISSY,Terrain aventure Neuville,438,14.0,3.0,61.0,EN PLACE,jeune,libre,gazon,Groupe,Non,Aucun,,20.0,3.0,,,,,,,FRAEXC,FRAEXC,{49A84BAA-531F-4EF3-9012-2FC44B4EA9B9},,,,,Feuillu,Non
1720951.4025,8294337.1924,1521,2017/02/02 15:27:53+00,mickael.delaere,Orthophoto,Quartier du Centre-Ville,Square rue Fréreuse,6,11.0,2.0,70.0,EN PLACE,adulte,semi libre,gazon,Alignement,Non,RAS,,50.0,10.0,0.0,,BETPEN,mickael.delaere,2017/02/02 15:27:53+00,VILLE,BETPEN,BETPEN,{011CEBE9-DE04-4F8E-A347-817D804F6B37},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1723031.8655,8293111.8175,2897,2017/02/02 15:27:58+00,mickael.delaere,Orthophoto,HARLY,Avenue Pierre Chocquart,6,15.0,4.0,145.0,EN PLACE,adulte,semi libre,gazon,Alignement,Oui,RAS,,40.0,10.0,0.0,,PLAACE,mickael.delaere,2017/02/02 15:27:58+00,VILLE,PLAACE,PLAACE,{74F1A02C-BCF6-4E2F-8795-A8E432117C18},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1718463.5052,8294080.7017,7968,2017/02/02 15:28:18+00,mickael.delaere,Orthophoto,Quartier Saint-Martin - Oëstres,Rue Georges Charpak,214,7.0,3.0,38.0,EN PLACE,jeune,semi libre,gazon,Alignement,Non,RAS,2010/01/01 00:00:00+00,,,,,PLAACE,mickael.delaere,2017/02/02 15:28:18+00,CASQ,PLAACE,PLAACE,{8C486B2B-E7AE-491A-A500-E654126B9101},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721498.3189,8295976.9023,4993,2017/02/02 15:28:08+00,mickael.delaere,Orthophoto,Quartier de l'Europe,Square de Kaiserlautern,11,10.0,3.0,90.0,EN PLACE,adulte,semi libre,fosse arbre,Alignement,Non,RAS,,40.0,2.0,0.0,,TILCOR,mickael.delaere,2017/02/02 15:28:08+00,VILLE,TILCOR,TILCOR,{81FF6DC3-A886-4ED5-A4F6-FC8857405F35},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1719144.5095,8295015.2482,8360,2017/02/02 15:28:18+00,mickael.delaere,Orthophoto,Quartier du Vermandois,Avenue Archimède,86,7.0,0.0,125.0,EN PLACE,jeune,rideau,gazon,Alignement,Non,RAS,,15.0,2.0,,,FAGSYLfas,mickael.delaere,2017/02/02 15:28:18+00,CASQ,FAGSYLfas,FAGSYLfas,{92A1A3E2-4163-4213-A0BD-967427D90062},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1720755.485,8293487.871,587,2017/02/02 15:27:50+00,mickael.delaere,Orthophoto,Quartier du Centre-Ville,Boulevard Léon Blum,40,14.0,8.0,195.0,EN PLACE,adulte,réduit,fosse arbre,Alignement,,RAS,,80.0,20.0,1.0,,PLAACE,mickael.delaere,2017/02/02 15:27:50+00,VILLE,PLAACE,PLAACE,{13AF4658-A3E4-42AF-ADF9-89C69F93DC50},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1722242.2915,8295171.9107,3330,2017/02/02 15:28:02+00,mickael.delaere,Orthophoto,Quartier Remicourt,Auberge de jeunesse,41,17.0,4.0,95.0,EN PLACE,adulte,semi libre,Bande de terre,Isolé,Non,RAS,,30.0,10.0,0.0,,PINNIGnig,mickael.delaere,2017/02/02 15:28:02+00,VILLE,PINNIGnig,PINNIGnig,{142926D1-3EEB-439D-AD79-66A39EBA4EEF},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Conifère,Non
1719568.158,8294340.2009,2357,2017/02/02 15:27:57+00,mickael.delaere,Orthophoto,Quartier Saint-Martin - Oëstres,Rue Alexandre Dumas,44,7.0,2.0,55.0,EN PLACE,adulte,étêté,Bande de terre,Alignement,Non,RAS,,20.0,5.0,0.0,,BETPEN,mickael.delaere,2017/02/02 15:27:57+00,VILLE,BETPEN,BETPEN,{4D21BB65-186C-4E36-B9DD-D423946CC64C},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1718166.442,8294368.3243,7633,2017/02/02 15:28:16+00,mickael.delaere,Orthophoto,Quartier Saint-Martin - Oëstres,Rue Pierre-Gilles de Gennes,3,8.0,2.5,77.0,EN PLACE,jeune,semi libre,gazon,Alignement,Non,RAS,2008/01/01 00:00:00+00,,,,,ULMHOLlob,mickael.delaere,2017/02/02 15:28:16+00,CASQ,ULMHOLlob,ULMHOLlob,{7C467ECD-2B26-4D30-A690-0485DDE2F353},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721089.0648,8293619.3387,5,2017/02/02 15:27:50+00,mickael.delaere,Orthophoto,Quartier du Centre-Ville,Boulevard Léon Blum,63,0.0,0.0,0.0,ABATTU,,,,Alignement,,RAS,,0.0,,0.0,,RAS,mickael.delaere,2017/02/02 15:27:50+00,VILLE,RAS,RAS,{4F0E4B12-4612-4F61-9911-43684831FD7D},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,,Non
1723425.5342,8293334.367,686,2017/02/02 15:27:50+00,mickael.delaere,Orthophoto,HARLY,Stade Marcel Bienfait,59,20.0,2.0,140.0,EN PLACE,adulte,semi libre,gazon,Alignement,Non,RAS,,30.0,10.0,1.0,,POPNIGita,mickael.delaere,2017/02/02 15:27:50+00,VILLE,POPNIGita,POPNIGita,{0AF9367D-1C0D-4F24-970F-A6A4729325C8},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1719478.8535,8295095.5994,7268,2017/02/02 15:28:16+00,mickael.delaere,Orthophoto,Quartier du Vermandois,Verger du théâtre de la manufacture,3,7.0,0.0,90.0,EN PLACE,adulte,semi libre,gazon,Alignement,Non,RAS,,40.0,10.0,0.0,,PYRCOM,mickael.delaere,2017/02/02 15:28:16+00,VILLE,PYRCOM,PYRCOM,{1306A43E-2143-40C2-B439-BD42158EDE1A},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1722533.9888,8294275.0995,6685,2017/02/02 15:28:13+00,mickael.delaere,Orthophoto,Quartier du faubourg d'Isle,Parc d'Isle Jacques Braconnier,259,12.0,3.5,70.0,EN PLACE,adulte,semi libre,gazon,Groupe,Non,RAS,,25.0,10.0,0.0,,BETPEN,thibaut.delaire,2017/02/21 10:21:35+00,CASQ,BETPEN,BETPEN,{67BB695B-ED2B-4DAD-B52D-86619E0C6A36},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1722023.3015,8295164.1403,5810,2017/02/02 15:28:09+00,mickael.delaere,Orthophoto,Quartier Remicourt,Rue Jacky Tabar,66,7.0,2.0,25.0,EN PLACE,jeune,semi libre,gazon,Alignement,Non,RAS,,5.0,3.0,0.0,,FRAANG,mickael.delaere,2017/02/02 15:28:09+00,VILLE,FRAANG,FRAANG,{1BAC0AC2-9905-457E-B367-C0277E8A21FD},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721997.9527,8296365.7143,4373,2017/02/02 15:28:05+00,mickael.delaere,Orthophoto,OMISSY,Gymnase LEP,38,13.0,3.0,85.0,EN PLACE,adulte,semi libre,gazon,Groupe,Non,RAS,,55.0,10.0,0.0,,ACEPSEatr,thibaut.delaire,2017/09/29 12:17:13+00,CASQ,ACEPSEatr,ACEPSEatr,{4CB33425-BFED-4D1E-8D82-2DD0F3F9C38A},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1720144.546,8295090.2158,6239,2017/02/02 15:28:13+00,mickael.delaere,Orthophoto,Quartier Saint-Jean,Rue du Président John Fitzgerald Kennedy,71,12.0,4.0,90.0,EN PLACE,adulte,semi libre,Bande de terre,Groupe,Non,RAS,,30.0,10.0,0.0,,BETPEN,mickael.delaere,2017/02/02 15:28:13+00,VILLE,BETPEN,BETPEN,{4DF1A4CE-138B-49D0-9C43-9325DC62890E},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1717919.4583,8294206.3043,7617,2017/02/02 15:28:16+00,mickael.delaere,Orthophoto,Quartier Saint-Martin - Oëstres,Rue René Cassin,7,6.0,2.5,52.0,EN PLACE,jeune,semi libre,Bande de terre,Alignement,Non,Plantation dans bande arbustive,2008/01/01 00:00:00+00,,,,,ACECAMels,mickael.delaere,2017/02/02 15:28:16+00,CASQ,ACECAMels,ACECAMels,{532BA748-A721-45E8-98E0-AEB4503AABA5},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1718460.6651,8294971.9586,7409,2017/02/02 15:28:16+00,mickael.delaere,Orthophoto,Quartier Saint-Martin - Oëstres,Rue Marcel Paul,34,12.0,4.0,141.0,EN PLACE,adulte,réduit relâché,gazon,Alignement,Non,RAS,,50.0,10.0,,,TILCOR,mickael.delaere,2017/02/02 15:28:16+00,CASQ,TILCOR,TILCOR,{FA97CDD0-26BD-4904-B9BC-639A36984CB3},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721706.4078,8296289.6342,10936,2018/01/10 14:13:35+00,mickael.delaere,Orthophoto,OMISSY,Terrain aventure Europe,247,18.0,5.0,98.0,EN PLACE,Adulte,Libre,Terre,Groupe,Non,RAS,,35.0,5.0,0.0,,PLAACE,mickael.delaere,2018/01/10 14:13:35+00,VILLE,PLAACE,PLAACE,{057D2B81-4D4D-4FC1-B3F4-EA0ED2D71F3B},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1719056.9671,8292938.8535,826,2017/02/02 15:27:50+00,mickael.delaere,Orthophoto,Quartier Saint-Martin - Oëstres,Stade Gaston Massot,9,21.0,9.0,145.0,SUPPRIMÉ,adulte,semi libre,gazon,Alignement,Non,RAS,,50.0,20.0,2.0,2017/06/30 22:00:00+00,POPCAN,mickael.delaere,2017/02/02 15:27:50+00,VILLE,POPCAN,POPCAN,{1451AB1F-7733-4E21-97A6-BF2750A73FF7},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1719943.3517,8293913.488,5992,2017/02/02 15:28:13+00,mickael.delaere,Orthophoto,Quartier Saint-Martin - Oëstres,Square Romain Tricoteaux,130,17.0,3.0,116.0,EN PLACE,adulte,semi libre,gazon,Groupe,Non,RAS,,40.0,10.0,0.0,,TILCOR,mickael.delaere,2017/02/02 15:28:13+00,VILLE,TILCOR,TILCOR,{8A4A3B33-F7DE-4B25-8314-3369F9C5EA19},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1719174.877,8294983.1795,8363,2017/02/02 15:28:18+00,mickael.delaere,Orthophoto,Quartier du Vermandois,Avenue Archimède,89,7.0,0.0,140.0,EN PLACE,jeune,rideau,gazon,Alignement,Non,RAS,,15.0,2.0,,,FAGSYLfas,mickael.delaere,2017/02/02 15:28:18+00,CASQ,FAGSYLfas,FAGSYLfas,{D0D62C4A-1809-4790-A12E-EB85AED531D1},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1719725.0169,8295327.9026,7145,2017/02/02 15:28:16+00,mickael.delaere,Orthophoto,Quartier du Vermandois,Centre social Champagne - Artois,17,5.0,1.5,40.0,EN PLACE,adulte,semi libre,gazon,Groupe,Non,RAS,,20.0,5.0,0.0,,LABANA,mickael.delaere,2017/02/02 15:28:16+00,VILLE,LABANA,LABANA,{ABC6D1DF-4166-45BD-8655-BB5E7FEFF8A3},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1719040.2163,8295304.6088,8255,2017/02/02 15:28:18+00,mickael.delaere,Orthophoto,Quartier du Vermandois,Espace Creatis,40,6.0,2.0,40.0,EN PLACE,jeune,semi libre,Bande de terre,Alignement,Non,RAS,,10.0,2.0,,,TILCOR,mickael.delaere,2017/02/02 15:28:18+00,CASQ,TILCOR,TILCOR,{300D10D2-534D-4C0C-AB9D-D3D5FC83F1C1},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
